name,continent,score,max_health,damage_taken,damage_given,collectables,level,completion_time
speedRoyalty,EUROPE,47403,534,80,53,120,479,640:09:00
xXxgamer47xXx,ASIA,48563,539,79,115,130,493,956:48:46
v0idt3mp0,AFRICA,42023,434,181,1,140,353,634:06:42
ne0nVandal,NORTH_AMERICA,49723,544,78,177,140,507,902:36:58
ApexDr1ft,NORTH_AMERICA,43183,439,180,63,150,367,042:44:24
voidR1fter,ANTARCTICA,50883,549,77,239,150,521,034:38:52
PulseHawk,ANTARCTICA,44343,444,179,125,160,381,018:21:27
gh0stV3ctor,EUROPE,52043,554,76,301,160,535,683:00:00
NovaStride,NORTH_AMERICA,37803,339,281,11,170,241,271:20:23
ironEcho,EUROPE,45503,449,178,187,170,395,554:29:04
StaticR0gue,EUROPE,53203,559,75,363,170,549,021:53:06
grav3Byte,AFRICA,38963,344,280,73,180,255,959:19:30
H3xReaper,NORTH_AMERICA,46663,454,177,249,180,409,703:34:37
wra1thSignal,NORTH_AMERICA,54363,564,74,425,180,563,672:35:35
BloodSyntax,SOUTH_AMERICA,40123,349,279,135,190,269,854:10:39
n1ghtK3rnel,SOUTH_AMERICA,47823,459,176,311,190,423,428:27:29
Black0utRune,EUROPE,55523,569,73,487,190,577,552:31:17
deadFr3q,SOUTH_AMERICA,33583,244,381,21,200,129,031:36:05
AshPr0tocol,SOUTH_AMERICA,41283,354,278,197,200,283,674:45:28
lagW4sMe,ANTARCTICA,48983,464,175,373,200,437,826:01:54
Oops1Di3d,EUROPE,56683,574,72,549,200,591,375:46:23
micr0waveMain,AUSTRALIA,34743,249,380,83,210,143,919:43:11
CertifiedNPC,NORTH_AMERICA,42443,359,277,259,210,297,490:44:20
respawnS00n,ASIA,50143,469,174,435,210,451,575:23:38
Keyb0ardSnack,NORTH_AMERICA,57843,579,71,611,210,605,450:18:03
aim0ptional,AFRICA,35903,254,379,145,220,157,126:50:40
PingEnj0y3r,NORTH_AMERICA,43603,364,276,321,220,311,521:23:00
quantumP1ng,AFRICA,51303,474,173,497,220,465,765:20:45
NeuralL00p,SOUTH_AMERICA,59003,584,70,673,220,619,905:25:38
bitCrush3r,AFRICA,29363,149,481,31,230,17,007:20:54
CacheM1ss,NORTH_AMERICA,37063,259,378,207,230,171,602:32:04
l0gicFram3,SOUTH_AMERICA,44763,369,275,383,230,325,403:14:36
PacketGh0st,SOUTH_AMERICA,52463,479,172,559,230,479,137:28:32
signalErr0r,EUROPE,60163,589,69,735,230,633,872:21:57
K3rnelPan1c,EUROPE,30523,154,480,93,240,31,796:12:12
ash3nWyv3rn,NORTH_AMERICA,38223,264,377,269,240,185,495:23:48
RuneW4rden,EUROPE,45923,374,274,445,240,339,168:31:01
moonB0und,AUSTRALIA,53623,484,171,621,240,493,980:57:31
Starf4llRook,AUSTRALIA,61323,594,68,797,240,647,260:28:54
th0rneVeil,ASIA,31683,159,479,155,250,45,500:52:48
EmberS4g3,AUSTRALIA,39383,269,376,331,250,199,002:42:01
voidP4ladin,NORTH_AMERICA,47083,379,273,507,250,353,106:29:20
Fr0stCr0wn,AFRICA,54783,489,170,683,250,507,925:39:18
pixelP34ch,AUSTRALIA,62483,599,67,859,250,661,420:47:30
M0chiMancer,NORTH_AMERICA,32843,164,478,217,260,59,265:00:20
cozyCr1t,AFRICA,40543,274,375,393,260,213,378:25:21
LilCl0ud,EUROPE,48243,384,272,569,260,367,687:03:00
no0dleSprout,AUSTRALIA,55943,494,169,745,260,521,524:13:02
B0baByte,AFRICA,63643,604,66,921,260,675,949:19:39
sleepySl1m3,EUROPE,34003,169,477,279,270,73,338:50:46
T0fuQuest,EUROPE,41703,279,374,455,270,227,587:49:26
fram3Perf3ct,ASIA,49403,389,271,631,270,381,551:38:26
HardR3set,SOUTH_AMERICA,57103,499,168,807,270,535,658:40:48
neonR1ft,AUSTRALIA,64803,609,65,983,270,689,860:48:53
ApexShad0w,ANTARCTICA,35163,174,476,341,280,87,306:16:19
voidHunt3r,SOUTH_AMERICA,42863,284,373,517,280,241,913:53:01
PulseStr1ke,ANTARCTICA,50563,394,270,693,280,395,798:20:58
gh0stFlam3,NORTH_AMERICA,58263,504,167,869,280,549,510:10:21
NovaKn1ght,ANTARCTICA,65963,614,64,1045,280,703,722:52:49
ironShad3,ANTARCTICA,36323,179,475,403,290,101,210:20:38
StaticBlad3,SOUTH_AMERICA,44023,289,372,579,290,255,679:45:09
gravePuls3,AUSTRALIA,51723,399,269,755,290,409,587:41:51
H3xShad3,AFRICA,59423,509,166,931,290,563,012:10:40
wraithSt0rm,EUROPE,67123,619,63,1107,290,717,709:01:05
BloodFang,AFRICA,37483,184,474,465,300,115,249:09:19
nightR1ng,ANTARCTICA,45183,294,371,641,300,269,137:36:34
BlackDusk,EUROPE,52883,404,268,817,300,423,984:07:27
deadL1ne,AFRICA,60583,514,165,993,300,577,581:06:39
AshenF1re,ASIA,68283,624,62,1169,300,731,846:20:33
lagK1ller,ASIA,38643,189,473,527,310,129,693:14:53
Oops1Slay,EUROPE,46343,299,370,703,310,283,055:03:00
micr0waveP0wer,SOUTH_AMERICA,54043,409,267,879,310,437,312:26:19
Cert1fiedNPC2,NORTH_AMERICA,61743,519,164,1055,310,591,035:22:46
RespawnRush,ASIA,69443,629,61,1231,310,745,050:23:02
